author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/306297489/;Москва;sale;flat;3;15;1;54.0;14800000;; Татьянин Парк;14к2;Говорово;Татьянин Парк
MR Group;developer;https://www.cian.ru/sale/flat/308088559/;Москва;sale;flat;3;7;1;78.45;196125000;Арбат;Крестовоздвиженский переулок;4;Арбатская;LUCE
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297952059/;Москва;sale;flat;18;22;1;43.0;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ID 19850306;homeowner;https://www.cian.ru/sale/flat/308355964/;Москва;sale;flat;13;19;1;50.2;23850000;Богородское;1-я Мясниковская ;2;Белокаменная;Соколиный форт
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304453140/;Москва;sale;flat;49;66;1;44.6;44154000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Москва;sale;flat;18;22;1;43.0;19500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Plus Development;developer;https://www.cian.ru/sale/flat/298554505/;Москва;sale;flat;10;23;1;43.0;9362820;;;;Филатов Луг;Детали ЖК
СИТИ21;developer;https://www.cian.ru/sale/flat/305970241/;Москва;sale;flat;12;15;1;52.6;22080277;Останкинский;проспект Мира;95;Алексеевская;Hill8
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/308421883/;Москва;sale;flat;9;20;1;39.74;16802072;Даниловский;Автозаводская ;26;Тульская;FORST
Century21 Феникс;real_estate_agent;https://www.cian.ru/sale/flat/307045302/;Москва;sale;flat;5;5;1;36.6;11450000;Останкинский;1-я Останкинская ;13/1;Телецентр;
PIONEER;developer;https://www.cian.ru/sale/flat/306809960/;Москва;sale;flat;2;22;1;31.4;17903652;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303071841/;Москва;sale;flat;19;32;1;32.2;25000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308744522/;Москва;sale;flat;3;9;1;56.5;36250000;Хамовники;Большой Власьевский переулок;9;Смоленская;
Среда;developer;https://www.cian.ru/sale/flat/303859434/;Москва;sale;flat;6;13;1;35.3;14608904;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950468/;Москва;sale;flat;4;13;1;43.6;37500000;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307970298/;Москва;sale;flat;14;32;1;44.0;32500000;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Dominanta;developer;https://www.cian.ru/sale/flat/304842023/;Москва;sale;flat;5;34;1;38.6;23970600;Раменки;проезд 4-й Сетуньский;10Ас2;Парк Победы;hideOUT
Эльдар Кудинов;realtor;https://www.cian.ru/sale/flat/308944363/;Москва;sale;flat;2;12;1;28.2;12800000;Раменки;Мичуринский проспект;38;Раменки;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308852454/;Москва;sale;flat;9;12;1;39.0;13500000;Теплый Стан; Академика Бакулева;6;Тропарёво;
Донстрой;developer;https://www.cian.ru/sale/flat/306760378/;Москва;sale;flat;2;16;1;54.7;42359680;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307295985/;Москва;sale;flat;3;24;1;42.6;21500000;Даниловский;Автозаводская ;23Бк2;ЗИЛ;Парк Легенд
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307257825/;Москва;sale;flat;11;12;1;61.3;38000000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Sminex;developer;https://www.cian.ru/sale/flat/306155439/;Москва;sale;flat;2;23;1;56.0;59120000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304572948/;Москва;sale;flat;3;14;1;39.0;9300000;Ново-Переделкино; Шолохова;2;Новопеределкино;
ID 92117113;real_estate_agent;https://www.cian.ru/sale/flat/308079488/;Москва;sale;flat;15;22;1;36.4;16500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/308943255/;Москва;sale;flat;2;9;1;27.4;10921092;Головинский;Северный ао;;Коптево;Михалковский ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/304952945/;Москва;sale;flat;11;20;1;44.0;22490000;Левобережный;;В3;Беломорская;Акватория ЖК
Estes;real_estate_agent;https://www.cian.ru/sale/flat/307585490/;Москва;sale;flat;17;22;1;43.5;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Hutton Development;developer;https://www.cian.ru/sale/flat/305627360/;Москва;sale;flat;8;17;1;50.8;36423600;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/308862796/;Москва;sale;flat;13;20;1;48.9;26500000;Раменки; Василия Ланового;3;Аминьевская;Событие
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305693861/;Москва;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
FORMA;developer;https://www.cian.ru/sale/flat/305605376/;Москва;sale;flat;9;33;1;38.27;26322106;Пресненский; Пресненский Вал;27С6;Белорусская;Republic
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308783142/;Москва;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Донстрой;developer;https://www.cian.ru/sale/flat/308319635/;Москва;sale;flat;6;50;1;49.3;24551400;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
Виктория Грудько;realtor;https://www.cian.ru/sale/flat/308153896/;Москва;sale;flat;4;8;1;33.0;12800000;Теплый Стан;Профсоюзная ;136К4;Коньково;
ONE Company;real_estate_agent;https://www.cian.ru/sale/flat/308100205/;Москва;sale;flat;22;22;1;14.3;8280000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Мангазея;developer;https://www.cian.ru/sale/flat/308903193/;Москва;sale;flat;6;41;1;36.7;22431040;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
ID 96167522;realtor;https://www.cian.ru/sale/flat/299789842/;Москва;sale;flat;9;9;1;36.9;8850000;Люблино; Верхние Поля;27С2;Братиславская;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525822/;Москва;sale;flat;22;22;1;14.3;8280000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/308023588/;Москва;sale;flat;2;46;1;42.5;30249760;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/306945307/;Москва;sale;flat;21;24;1;40.8;30000000;Хорошевский;Хорошевское шоссе;25Ак3;Полежаевская;Династия
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305918006/;Москва;sale;flat;4;4;1;16.4;5030000;Марфино;Малая Ботаническая ;10А;Фонвизинская;
Tekta Group;developer;https://www.cian.ru/sale/flat/306368174/;Москва;sale;flat;8;27;1;28.1;19363710;Даниловский;;1;Крестьянская застава;Эра ЖК
ТСН Владис;real_estate_agent;https://www.cian.ru/sale/flat/308515173/;Москва;sale;flat;7;9;1;40.6;10499000;Некрасовка; Недорубова;12;Некрасовка;Некрасовка
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/308324769/;Москва;sale;flat;4;14;1;35.0;13500000;Южнопортовый; Сайкина;7;Автозаводская;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/306694573/;Москва;sale;flat;14;19;1;39.6;23760000;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308063057/;Москва;sale;flat;24;49;1;43.9;27800000;Раменки; Лобачевского;114с1;Аминьевская;Событие
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306271389/;Москва;sale;flat;3;17;1;37.8;8190000;;проспект Нововатутинский;12;Кедровая;
Capital Group;developer;https://www.cian.ru/sale/flat/298020354/;Москва;sale;flat;15;67;1;47.5;47500000;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити;Capital Towers
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307098964/;Москва;sale;flat;7;48;1;55.5;33000000;Ростокино; Вильгельма Пика;3С1;Ботанический сад;Режиссёр
ИПОМАКС;real_estate_agent;https://www.cian.ru/sale/flat/301129398/;Москва;sale;flat;7;16;1;45.0;7500000;;;23А;Апрелевка;
Группа Родина;developer;https://www.cian.ru/sale/flat/305467903/;Москва;sale;flat;2;23;1;43.8;22126280;Ростокино;;к6;Ботанический сад;Союз ЖК
Андрей Вдовин;realtor;https://www.cian.ru/sale/flat/278701200/;Москва;sale;flat;2;15;1;31.9;11758286;Хорошевский;Ходынский бульвар;2;ЦСКА;Лайнер
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/308313225/;Москва;sale;flat;11;24;1;44.0;18900000;Раменки; Лобачевского;118к1;Аминьевская;Лобачевский
Capital Group;developer;https://www.cian.ru/sale/flat/307771820/;Москва;sale;flat;12;18;1;48.3;58149819;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/294476646/;Москва;sale;flat;3;5;1;31.0;18500000;Пресненский; Юлиуса Фучика;2/30;Маяковская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/307502540/;Москва;sale;flat;6;14;1;39.4;8750000;Крюково;Зеленоград;к1620;Зеленоград — Крюково;
Донстрой;developer;https://www.cian.ru/sale/flat/304095593/;Москва;sale;flat;15;22;1;37.5;22623750;Хорошево-Мневники;Жилой комплекс остров;3;Мнёвники;Остров
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308760982/;Москва;sale;flat;5;24;1;39.1;19800000;Фили-Давыдково; Герасима Курина;18;Славянский бульвар;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303309482/;Москва;sale;flat;11;19;1;35.5;11800000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/292234053/;Москва;sale;flat;7;30;1;41.9;10688690;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
ID 81467774;homeowner;https://www.cian.ru/sale/flat/306073042/;Москва;sale;flat;3;17;1;38.0;13700000;Свиблово;Вересковая ;1К1;Свиблово;
ID 497357;realtor;https://www.cian.ru/sale/flat/307664639/;Москва;sale;flat;2;9;1;31.8;12190000;Кунцево;Ельнинская ;22К1;Молодёжная;
Sminex;developer;https://www.cian.ru/sale/flat/307689423/;Москва;sale;flat;3;9;1;51.4;58100000;Пресненский;Электрический переулок;1с22;Белорусская;Элитный квартал Тишинский бульвар
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/283946953/;Москва;sale;flat;4;6;1;31.4;28500000;Хамовники;Зубовская ;7;Парк Культуры;Roza Rossa
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/297233032/;Москва;sale;flat;12;12;1;39.0;9600000;Гольяново;Уральская ;1;Щёлковская;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/306782956/;Москва;sale;flat;2;6;1;39.0;23205000;Хорошево-Мневники; Саляма Адиля;2А;Народное Ополчение;Wellton SPA Residence
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303016403/;Москва;sale;flat;12;28;1;45.2;20500000;Даниловский;Автозаводская ;;ЗИЛ;Shagal
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306034275/;Москва;sale;flat;4;4;1;20.0;7700000;Даниловский;2-я Рощинская ;10;Тульская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/305145360/;Москва;sale;flat;5;27;1;34.9;16984748;Щукино;;;Щукинская;Октябрьское Поле ЖК
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308953364/;Москва;sale;flat;6;21;1;36.0;15500000;Ховрино;Левобережная ;4к9;Ховрино;
One Life;real_estate_agent;https://www.cian.ru/sale/flat/305975024/;Москва;sale;flat;7;24;1;49.0;18000000;Хорошево-Мневники; Народного Ополчения;11;Народное Ополчение;Wellton park
Forma;developer;https://www.cian.ru/sale/flat/297983503/;Москва;sale;flat;10;29;1;39.0;18203016;Аэропорт;Часовая ;28к8;Сокол;SOUL
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/306516350/;Москва;sale;flat;21;22;1;39.0;11300000;Братеево;Алма-Атинская ;2;Алма-Атинская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305283165/;Москва;sale;flat;16;17;1;37.1;10299000;Марьино; Перерва;33;Братиславская;
Мангазея;developer;https://www.cian.ru/sale/flat/308902326/;Москва;sale;flat;17;21;1;48.1;27019838;Щукино;Щукинская ;3;Щукинская;Интонация
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/299499349/;Москва;sale;flat;5;21;1;48.4;21250000;Щукино;Щукинская ;3;Щукинская;Интонация
Группа Аквилон;developer;https://www.cian.ru/sale/flat/299730098/;Москва;sale;flat;10;28;1;32.89;12350261;Нижегородский;;;Нижегородская;Аквилон Бисайд 2.0 ЖК
Стадион Спартак;developer;https://www.cian.ru/sale/flat/292442349/;Москва;sale;flat;3;13;1;47.0;23876000;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308519031/;Москва;sale;flat;1;12;1;34.0;10000000;Бескудниковский;Дмитровское шоссе;103;Яхромская;
MR Group;developer;https://www.cian.ru/sale/flat/307788173/;Москва;sale;flat;20;47;1;35.17;19097029;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
The Smitt;real_estate_agent;https://www.cian.ru/sale/flat/306642138/;Москва;sale;flat;5;9;1;32.7;7900000;Выхино-Жулебино;Ферганский проезд;7К1;Юго-Восточная;
Regions Development;developer;https://www.cian.ru/sale/flat/308070811/;Москва;sale;flat;6;6;1;40.3;;Нагатинский затон;проспект Андропова;9/1к3;Технопарк;Dream Towers
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300074305/;Москва;sale;flat;5;38;1;39.8;20500000;Останкинский; Вильгельма Пика;;Улица Сергея Эйзенштейна;Режиссёр
